Abt, Felix
Acemoglu, Daron
Ahn, Byung-joon
Ahrens, Joachim
Albright, Madeleine K.
Allen, Peter M
Allison, Graham T.
Anderson, David
Andersson, Magnus
Andrain, Charles F.
Arendt, Hannah
Armstrong, Charles K.
BARANY, ZOLTAN D.
Bachman, David
Bae, Jinsun
Bailey, K. D.
Bailey, Kenneth D.
Banister, Judith
Barber, James David
Bates, Robert H.
Baturo, Alexander
Beck, Peter M.
Becker, Jasper
Berendsen, Bernard
Berkeley, Bill
Berman, Ilan
Bermudez, Joseph S.
Blau, Adrian
Blaydes, Lisa
Blum, Ilana
Bong, Youngshik D.
Bounding, Kenneth E.
Boyd, Molly
Breslauer, George W.
Brocklesby, John
Brown, James
Brown, James D. J.
Brown, Michael E.
Bruce, Scott Thomas
Brunn, Stanley D.
Brusis, Martin
Brzezinski, Zbigniew
Buhm-Suk, Baek
Bunge, Frederica M.
Burnell, Peter
Byman, Daniel
Byrne, David
Byrne, Malcolm
Bünte, Marco
CHOI, CHANGYONG
Cadario, Paul M.
Caisova, Lenka
Calvert, Peter
Cappelen, Herman
Capra, Fritjof
Caprio, Mark
Castillo, Jasen J.
Cavanaugh, Catherine
Center for Korean Studies
Center, Harvard University Russian Research
Ch'oe, Chang-jip
Cha, Victor
Chanlett-Avery, Emma
Chen, Cheng
Chen, Ching-Chang
Cheng, Hsiao-shih
Chestnut, Sheena
Cho, Jeong-Ah
Cho, Lee-Jay
Cho, Seong-Ryoul
Choi, Jang Jip
Choi, Jong Kun
Chon, Soohyun
Choucair-Vizoso, Julia
Christensen, Thomas J.
Clark, Donald N.
Clemens, Walter C.
Clément, Théo
Coghlan, David
Cohen, Michael D.
Coles, Harry L.
Colton, Timothy J.
Committee for Human Rights in North Korea
Connable, Ben
Cordesman, Anthony H.
Corning, Peter A.
Cote, Owen R.
Cranmer, Skyler J.
Croissant, Aurel
Cumings, Bruce
Cushman, Thomas
Dallin, Alexander
Danopoulos, Constantine P.
Danopoulos, Constantine Panos
David-West, Alzo
Davis, Allison
De Ceuster, Koen
Desmarais, Bruce A.
Dietrich, Craig
Dimitrov, Martin K.
Diwan, Romesh
Dodge, Toby
Dorn, James A.
Downs, Chuck
Doyle, Michael W.
Dubinsky, Stanley
Dukalskis, Alexander
Dyevre, Arthur
East-West Center
Easton, David
Eaton, Vicki
Eberstadt, Nicholas
Eberstadt, Nick
Economics (U.S.), Institute for International
Elkink, Jos
Elliott, Kimberly Ann
Elvira, Laura Ruiz de
Embong, Abdul Rahman
Engels, Friedrich
Ericson, Richard E.
Ezrow, Natasha M.
Fahy, Sandra
Fainsod, Merle
Fernandes, Benjamin J.
Finer, Samuel Edward
Firth, Craig R.
Fischer, Paul
Fitzpatrick, Sheila
Foran, John
Ford, Darlene
Francisco, Ronald A.
Frank, Aaron
Frantz, Erica
Freeman, C.
Friedrich, Carl Joachim
Friedrich, Karl Joachim
Fumagalli, Matteo
Gallucci, Robert L.
Gana, Nouri
Gandhi, Jennifer
Gardner, Burleigh Bradford
Gardner, Mary R.
Gartzke, Erik
Gasiorowski, Mark J.
Gause, F. Gregory
Gause, Gregory F.
Gause, Ken E
Gause, Ken E.
Geddes, Barbara
Geertz, Clifford
Geifman, Anna
Gendler, Tamar
Gerschewski, Johannes
Gerth, Hans
Gill, Graeme
Goodin, Robert E.
Gouré, Daniel
Graubard, Stephen R.
Graubard, Stephen Richards
Grauvogel, Julia
Gray, Kevin
Greitens, Sheena Chestnut
Grossberg, Lawrence
Grzymala-Busse, Anna
Haggard, Professor in the Graduate School of International Relations and Pacific Studies Stephan
Haggard, Stephan
Hakimdavar, Golnoosh
Halliday, Jon
Harrison, Selig S.
Hassig, Ralph C.
Hawkesworth, Mary
Hawthorne, John P.
Hayes, Peter
Hays-Mitchell, Maureen
Heilmann, Sebastian
Herman, Luke
Herrmann, Richard K.
Higham, R.
Holmes, Amy Austin
Hong, Y.
Hough, Jerry F.
Hunter, Helen-Louise
Huntington, Samuel P.
Hwang, Balbina Y.
Hwang, Jaeho
Hwang, Kwang-kuo
Ishiyama, John
Itzcovich, Giulio
Jakab, András
Jankowski, James P.
Jantsch, Erich
Jeffries, Ian
Jeon, Jei Guk
Jervis, Robert
Jesse, Neal
John, Ishiyama
Johnston, Alexander
Jonsson, Petur O.
Jung-sik, Koh
Kagan, F.
Kailitz, Steffen
Kang, Chol-hwan
Kapstein, Ethan B.
Keane, John
Kihl, Young Whan
Kim, Byoung-Lo Philo
Kim, Dalchoong
Kim, Hak-chun
Kim, Heungkyu
Kim, Il-Gi
Kim, Insoo
Kim, Roy U. T.
Kim, Samuel S.
Kim, Sung Chull
Kim, Sunwoong
Kim, Suzy
Kim, Woojoo
Kim, Yongho
Kim, Yoon Hyung
King, Victor T.
Kingston, Jeff
Klose, Julian
Knight, Professor W. Andy
Koellner, Patrick
Kogan, Maurice
Koh, B. C.
Koh, Byung Chul
Korea), Institute for Unification Education, Ministry of Unification (South
Kornai, Janos
Kriesberg, Louis
Kroenig, Matthew
Ku, Yangmo
Kuran, Timur
Kwak, T'ae-Hwan
Laclau, Ernesto
Lander, Natasha
Lankov, Andrei
Lanʹkov, A. N.
Lanʹkov, Andreĭ Nikolaevich
Lasswell, Harold D.
Laszlo, Ervin
Layne, Christopher
Lee, Aie-Rie
Lee, Chong-Sik
Lee, Hyun-chool
Lee, Inyeop
Lee, James M.
Lee, Ji-Yong
Lee, Jong-Woon
Lee, Katherine In-Young
Lee, Kyo-Duk
Lee, Min Yong
Lee, Terence
Leff, Carol Skalnik
Lenin, Vladimir Ilyich
Leung C. K., Hanson
Levene, Mark
Levinthal, Daniel
Levitsky, Steven
Lijphart, Arend
Lim, Jae-Cheon
Lim, Soon-Hee
Lin, Aaron
Lind, Jennifer
Linz, Juan J.
Linz, Professor Juan J.
Lipson, Michael
Liu, Alan P. L.
Liu, Ligang
Lynn, Hyung-Gu
Lynn-Jones, Sean M.
Machiavelli, Niccolo
Madden, Dan
Mahdavi, Paasha
Manzocco, Roberto
March, James G
March, James G.
Martin, Bradley K.
Marx, Karl
Masciulli, Mr Joseph
Matherly, Carter
Maturana, H. R.
Mauk, Marlene
Mazarr, Michael J.
McCormack, Gavan
McEachern, Patrick
McNEAL, ROBERT H.
McNerney, Michael J.
Melton, Oliver
Mesquita, Bruce Bueno de
Miller, James Grier
Miller, Steven E.
Mills, C. Wright
Milner, Helen V.
Miner, Anne
Mingers, John
Misagh, Parsa
Mo, Jongryn
Molchanov, Mr Mikhail A.
Moore, Barrington
Morgan, Jason W.
Mouffe, Chantal
Munck, Gerardo L.
Myers, B. R.
Narang, Neil
Nelson, Cary
Nincic, Miroslav
Noland, Marcus
North, Douglass C.
Nye, Joseph S.
O'Gorman, Gweneth
O, Tara C.
Ogawa, Kazuko
Oh, Kongdan
Oleszczuk, Thomas
Olsen, Johan P
O’Donnell, Guillermo
Packenham, Robert A.
Pak, Chae-gyu
Pak, Jung H.
Pape, Robert A.
Parasiliti, Andrew
Park, Han S
Park, Han S.
Park, Han Shik
Park, Kyung-Ae
Park, Seo-Hyun
Parsa, Misagh
Parsa, Professor of Sociology Misagh
Paul, Christopher
Peterson, Mark
Pieterse, Jan Nederveen
Pocock, J. G. A.
Poneman, Daniel B.
Porte, Todd R. La
Posard, Marek N.
Prigogine, I
Putnam, Robert D.
Pynsent, R. B.
Pyrcz, Greg
Reader, Nicholas
Reiss, Mitchell B.
Remington, Robin A.
Rhee, Kang Suk
Rigoulot, Pierre
Robaschik, Frank
Robertson, Jeffrey
Robinson, James A.
Robinson, Jean C.
Robinson, Sherman
Rosenau, James N.
Roy, Denny
Ruiz-Rufino, Rubén
Russett, Bruce
Ryu, Jaesung
Salin, Philip
Salitan, Laurie P.
Samuels, Richard J.
Scalapino, Robert A.
Schedler, Andreas
Schieve, W. C
Schmitter, Philippe C.
Scobell, Andrew
Seol, In Hyo
Service, Congressional
Seth, Michael J.
Sigal, Leon V.
Simon, Herbert Alexander
Skillend, W. E.
Skilling, H. Gordon
Skocpol, Theda
Slater, Dan
Smith, Alastair
Smith, Benjamin
Smith, Hazel
Snyder, Jack
Snyder, Jack L
Snyder, Scott
Solingen, Etel
Song, Joung-Ho
Song, Wonjun
Spiro, David E.
Stallard, Katie
Starr, Harvey
Stengers, Isabelle
Stepan, Alfred
Stepan, Wallace Sayre Professor Alfred
Stoessinger, John G.
Stolar, Batia Boe
Stone, Dan
Strauss, Julia C.
Stueck, William
Stueck, William Whitney
Suh, Dae-Sook
Svolik, Milan W.
Sylvestre, Peter
Szelenyi, Ivan
Tarrington, Charles W.
Taspinar, Ömer
Teitel, Ruti G.
Tham, Siew Yean
Tilly, Charles
Trãan, Thi Quãe
Tsou, Tang
Turley, William S.
Turmanidze, Koba
Uhalley, Stephen
University of California, Berkeley
University), Alfred (Wallace Sayre Professor of Government Stepan, Columbia
Varela, F. J.
Verdier, Thierry
Vittoz, Stanley
Von Bertalanffy, Ludwig
Vyas, Utpal
Walder, Andrew G.
Wasserman, Stanley
Watson, Cynthia
Watson, Cynthia Ann
Way, Lucan A.
Weber, Max
Wedeman, Andrew
Welch, Claude
Wells, Samuel F.
Wen, Yin-Kann
Wessel, Martin Schulze
White, Terence Hanbury
Wikipedia, Source
Wit, Joel S.
Wolak, Jennifer
Woo, Jongseok
Woo, Park Seung
Workshop on Dissipative Structures in the Social and Physical Sciences
Wright, Joseph
Wright, Joseph George
Wu, Anne
Wurster, Stefan
Yang, Moon-Soo
Yang, Sung Chul
Yee, Samuel
Yi, Yong-p'il
Yoon, Dae-Kyu
Young, Roland
Yun, Tae-gyu
Zahid, Mohammed
Zeigler, Donald J.
Zelikow, Philip
Zheng, Xiaoshi
Ziegler, Charles E.
Zimmerman, S. Rebecca
Zintl, Tina
graziano, luigi
lee, Chae-Jin
von Soest, Christian
